Job titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Country,Salary
High School Spanish Teacher,0.08,874,3629,0.2408376963350785,Construction,Cambodia,568.0
Referral Specialist,0.5,113,857,0.131855309218203,Sales & Marketing,Malaysia,487.5
Desktop Support,0.4,658,1981,0.3321554770318021,Supply Chain & Logistics,Thailand,530.0
Treasury Analyst,0.4,595,2047,0.2906692721055203,Law Enforcement,Thailand,530.0
Food Production Worker,0.35,260,953,0.2728226652675761,Administrative & Clerical,Indonesia,541.25
Product Engineer,0.3,186,1214,0.1532125205930807,Medical & Healthcare,Philippines,550.0
Medical Scientist,0.15,710,3157,0.2248970541653468,Hospitality,Myanmar,561.25
Patient Services Representative,0.4,392,1473,0.2661235573659199,Data & IT,Thailand,530.0
Lab Analyst,0.3,156,1484,0.105121293800539,Communication & PR,Philippines,550.0
Insurance Investigator,0.45,406,1386,0.2929292929292929,Sales & Marketing,Malaysia,516.25
Phone Sales,0.75,11,54,0.2037037037037037,Sales & Marketing,Singapore,350.0
Stock Clerk,0.25,151,1036,0.1457528957528957,Administrative & Clerical,Vietnam,556.25
Service Worker,0.2,81,580,0.1396551724137931,Medical & Healthcare,Laos,560.0
Make Up Artist,0.05,644,2503,0.2572912504994007,Leadership & Strategy,Cambodia,580.0
Foreign Language Teacher,0.15,566,2110,0.2682464454976303,Communication & PR,Myanmar,561.25
DBA,0.25,172,1322,0.1301059001512859,Law Enforcement,Vietnam,556.25
Credit Specialist,0.7,170,1394,0.1219512195121951,Law Enforcement,Singapore,380.0
Supply Chain Management,0.1,1073,4297,0.2497090993716546,Hospitality,Cambodia,560.0
Child Psychologist,0.55,52,581,0.0895008605851979,Administrative & Clerical,Malaysia,458.75
Database Engineer,0.75,12,55,0.2181818181818181,Medical & Healthcare,Singapore,350.0
Tax Analyst,0.6,161,1162,0.1385542168674698,Law Enforcement,Singapore,440.0
Funeral Arranger,0.3,113,811,0.1393341553637484,Leadership & Strategy,Philippines,550.0
Quality Assurance Analyst,0.25,783,2547,0.3074204946996466,Data & IT,Vietnam,556.25
Aml Analyst,0.25,205,1409,0.1454932576295244,Medical & Healthcare,Vietnam,556.25
Animal Technician,0.05,273,1439,0.1897150799166087,Communication & PR,Cambodia,580.0
Paint Technician,0.18,393,1801,0.2182121043864519,Medical & Healthcare,Laos,569.0
Social Media Assistant,0.2,392,2696,0.14540059347181,Construction,Laos,560.0
Embedded Systems Engineer,0.7,119,853,0.1395076201641266,Hospitality,Singapore,380.0
Project Engineering Manager,0.1,685,2876,0.2381780250347705,Construction,Cambodia,560.0
Aerospace Technician,0.28,142,1173,0.1210571184995737,Communication & PR,Philippines,560.0
Patient Care Assistant,0.2,672,2835,0.237037037037037,Leadership & Strategy,Laos,560.0
Florist,0.2,213,1704,0.125,Administrative & Clerical,Laos,560.0
Cnc Machinist,0.3,134,780,0.1717948717948718,Supply Chain & Logistics,Philippines,550.0
Real Estate Photographer,0.25,567,2010,0.282089552238806,Medical & Healthcare,Vietnam,556.25
Sports Psychologist,0.05,722,3206,0.2252027448533999,Communication & PR,Cambodia,580.0
Tool Crib Attendant,0.25,213,801,0.2659176029962546,Communication & PR,Vietnam,556.25
Foster Care Case Manager,0.3,173,1505,0.1149501661129568,Communication & PR,Philippines,550.0
Room Service Server,0.4,203,842,0.2410926365795724,Construction,Thailand,530.0
Data Engineer,0.3,216,1478,0.1461434370771312,Hospitality,Philippines,550.0
Safety Engineer,0.2,124,850,0.1458823529411764,Construction,Laos,560.0
Purchasing Specialist,0.4,530,1717,0.308677926616191,Administrative & Clerical,Thailand,530.0
Miner,0.1,207,653,0.3169984686064318,Communication & PR,Cambodia,560.0
Licensed Professional Counselor,0.15,655,2892,0.2264868603042877,Hospitality,Myanmar,561.25
Film,0.2,241,1577,0.1528218135700697,Communication & PR,Laos,560.0
Outside Sales,0.45,727,2260,0.3216814159292035,Law Enforcement,Malaysia,516.25
Clinical Educator,0.3,140,942,0.1486199575371549,Construction,Philippines,550.0
Investment Banking Associate,0.3,186,1320,0.1409090909090909,Medical & Healthcare,Philippines,550.0
Bookkeeping,0.65,139,914,0.1520787746170678,Law Enforcement,Singapore,410.0
Biomedical Technician,0.45,514,2125,0.2418823529411764,Data & IT,Malaysia,516.25
Franchise Manager,0.25,229,1480,0.1547297297297297,Leadership & Strategy,Vietnam,556.25
Human Resources Recruiter,0.15,1070,4234,0.2527161076995748,Administrative & Clerical,Myanmar,561.25
Claims Adjuster,0.4,588,1919,0.3064095883272538,Administrative & Clerical,Thailand,530.0
Assistant Hotel Manager,0.3,222,1383,0.1605206073752711,Hospitality,Philippines,550.0
Administration Manager,0.55,111,1059,0.1048158640226629,Leadership & Strategy,Malaysia,458.75
Performance Engineer,0.25,479,1384,0.3460982658959537,Construction,Vietnam,556.25
Aviation Maintenance Technician,0.35,68,536,0.126865671641791,Data & IT,Indonesia,541.25
Pharmacy Technician,0.4,248,1012,0.2450592885375494,Law Enforcement,Thailand,530.0
Engineering Project Manager,0.7,176,1446,0.1217150760719225,Hospitality,Singapore,380.0
City Driver,0.3,58,451,0.1286031042128603,Sales & Marketing,Philippines,550.0
Warranty Clerk,0.65,116,816,0.142156862745098,Law Enforcement,Singapore,410.0
Director Of Security,0.3,132,889,0.1484814398200225,Hospitality,Philippines,550.0
Building Manager,0.3,158,984,0.1605691056910569,Data & IT,Philippines,550.0
Accounts Payable Clerk,0.3,219,1351,0.1621021465581051,Leadership & Strategy,Philippines,550.0
Head Chef,0.2,43,349,0.1232091690544412,Administrative & Clerical,Laos,560.0
CTO,0.1,1155,4542,0.2542932628797886,Sales & Marketing,Cambodia,560.0
Procurement Assistant,0.8,179,1316,0.1360182370820668,Communication & PR,Singapore,320.0
Zamboni Driver,0.1,172,778,0.2210796915167095,Construction,Cambodia,560.0
Clinical Director,0.05,1005,3452,0.291135573580533,Administrative & Clerical,Cambodia,580.0
Adjuster,0.35,222,1451,0.1529979324603721,Law Enforcement,Indonesia,541.25
Radar Technician,0.2,611,2771,0.220498015156983,Construction,Laos,560.0
Warehouse Associate,0.8,78,664,0.1174698795180722,Administrative & Clerical,Singapore,320.0
Purchasing Coordinator,0.6,158,1201,0.1315570358034971,Sales & Marketing,Singapore,440.0
Office Manager,0.15,1000,3894,0.2568053415511042,Data & IT,Myanmar,561.25
Accompanist,0.05,558,2355,0.2369426751592356,Medical & Healthcare,Cambodia,580.0
Pharmacy Cashier,0.3,124,629,0.1971383147853736,Law Enforcement,Philippines,550.0
Journeyman Electrician,0.15,330,1256,0.2627388535031847,Leadership & Strategy,Myanmar,561.25
Woodworker,0.1,278,1408,0.1974431818181818,Communication & PR,Cambodia,560.0
Director Of Photography,0.25,192,1595,0.1203761755485893,Sales & Marketing,Vietnam,556.25
Account Coordinator,0.1,1040,4194,0.2479732951835956,Administrative & Clerical,Cambodia,560.0
Archivist,0.3,153,1021,0.1498530852105778,Leadership & Strategy,Philippines,550.0
Business Partner,0.35,319,2087,0.1528509822712027,Leadership & Strategy,Indonesia,541.25
Peace Officer,0.1,532,1925,0.2763636363636363,Medical & Healthcare,Cambodia,560.0
Automation Specialist,0.4,598,1883,0.3175783324482209,Construction,Thailand,530.0
Social Media Marketing Manager,0.45,256,2272,0.1126760563380281,Data & IT,Malaysia,516.25
Transportation Manager,0.35,278,1819,0.1528312259483232,Medical & Healthcare,Indonesia,541.25
Web Application Developer,0.2,191,1435,0.1331010452961672,Administrative & Clerical,Laos,560.0
Supplier Quality Manager,0.2,265,1755,0.150997150997151,Law Enforcement,Laos,560.0
Freelance Artist,0.2,245,1780,0.1376404494382022,Leadership & Strategy,Laos,560.0
Information Architect,0.5,231,2053,0.1125182659522649,Data & IT,Malaysia,487.5
Head Coach,0.2,663,2742,0.2417943107221006,Supply Chain & Logistics,Laos,560.0
Regional Account Manager,0.1,930,3842,0.2420614263404477,Supply Chain & Logistics,Cambodia,560.0
Environmental Coordinator,0.2,213,1388,0.1534582132564841,Leadership & Strategy,Laos,560.0
Public Safety Dispatcher,0.7,164,1039,0.1578440808469682,Law Enforcement,Singapore,380.0
Real Estate Developer,0.15,956,4077,0.2344861417709099,Medical & Healthcare,Myanmar,561.25
Dance Teacher,0.05,847,3762,0.2251461988304093,Communication & PR,Cambodia,580.0
Head Start Teacher,0.4,399,1196,0.3336120401337792,Communication & PR,Thailand,530.0
Federal Contractor,0.1,756,2784,0.271551724137931,Hospitality,Cambodia,560.0
Welder Helper,0.15,518,2109,0.2456140350877192,Hospitality,Myanmar,561.25
Reservoir Engineer,0.2,141,1408,0.1001420454545454,Law Enforcement,Laos,560.0
Creative Designer,0.3,284,2215,0.128216704288939,Construction,Philippines,550.0
Mail Carrier,0.5,41,390,0.1051282051282051,Sales & Marketing,Malaysia,487.5
Cable Technician,0.5,63,451,0.1396895787139689,Construction,Malaysia,487.5
Automotive Mechanic,0.35,70,573,0.1221640488656195,Hospitality,Indonesia,541.25
Hospital Cleaner,0.5,20,240,0.0833333333333333,Sales & Marketing,Malaysia,487.5
System Engineer,0.55,143,1058,0.1351606805293005,Sales & Marketing,Malaysia,458.75
Commissioning Engineer,0.15,658,2529,0.2601818900751285,Sales & Marketing,Myanmar,561.25
Energy Analyst,0.65,164,1066,0.1538461538461538,Administrative & Clerical,Singapore,410.0
Technical Support Representative,0.45,204,2014,0.1012909632571996,Construction,Malaysia,516.25
Infantry,0.05,237,891,0.265993265993266,Communication & PR,Cambodia,580.0
Counselor,0.2,8,31,0.2580645161290322,Leadership & Strategy,Laos,560.0
Electrical Drafter,0.65,123,920,0.133695652173913,Supply Chain & Logistics,Singapore,410.0
Store Associate,0.2,208,1094,0.1901279707495429,Leadership & Strategy,Laos,560.0
Radio Host,0.1,1123,4680,0.2399572649572649,Communication & PR,Cambodia,560.0
Aviation Technician,0.4,434,1419,0.3058491895701198,Sales & Marketing,Thailand,530.0
Banking Analyst,0.25,218,1530,0.1424836601307189,Law Enforcement,Vietnam,556.25
Maintenance,0.18,457,1854,0.2464940668824164,Construction,Laos,569.0
Mandarin Teacher,0.08,762,3230,0.2359133126934984,Supply Chain & Logistics,Cambodia,568.0
Etl Informatica Developer,0.5,161,1087,0.1481140754369825,Supply Chain & Logistics,Malaysia,487.5
Animal Trainer,0.1,310,1313,0.2361005331302361,Construction,Cambodia,560.0
Substitute Teacher,0.4,470,1701,0.2763080540858318,Medical & Healthcare,Thailand,530.0
Clinical Systems Analyst,0.3,197,1399,0.1408148677626876,Medical & Healthcare,Philippines,550.0
Merchandising Coordinator,0.6,162,1111,0.1458145814581458,Hospitality,Singapore,440.0
Detention Officer,0.15,519,1946,0.2667009249743062,Sales & Marketing,Myanmar,561.25
Freelance Translator,0.55,133,1125,0.1182222222222222,Leadership & Strategy,Malaysia,458.75
Etl Tester,0.5,159,1100,0.1445454545454545,Medical & Healthcare,Malaysia,487.5
Special Education Coordinator,0.25,429,1280,0.33515625,Supply Chain & Logistics,Vietnam,556.25
Copy Writer,0.1,1070,4414,0.2424105120072496,Construction,Cambodia,560.0
Medical Courier,0.2,742,3149,0.2356303588440775,Communication & PR,Laos,560.0
Integration Architect,0.2,274,1708,0.1604215456674473,Leadership & Strategy,Laos,560.0
Materials Scientist,0.2,102,717,0.1422594142259414,Law Enforcement,Laos,560.0
Technology Sales,0.22,197,1447,0.1361437456807187,Medical & Healthcare,Vietnam,570.5
Technical Support Specialist,0.5,219,1795,0.1220055710306406,Hospitality,Malaysia,487.5
Patient Registrar,0.4,369,1359,0.271523178807947,Sales & Marketing,Thailand,530.0
Import Coordinator,0.6,129,935,0.1379679144385026,Construction,Singapore,440.0
Managing Editor,0.2,1170,5035,0.2323733862959285,Supply Chain & Logistics,Laos,560.0
Senior Graphic Designer,0.35,857,3006,0.2850964737192282,Law Enforcement,Indonesia,541.25
Cashier,0.7,97,703,0.1379800853485064,Medical & Healthcare,Singapore,380.0
Flight Instructor,0.5,55,399,0.137844611528822,Administrative & Clerical,Malaysia,487.5
Editorial Assistant,0.2,257,1599,0.1607254534083802,Law Enforcement,Laos,560.0
Performance Analyst,0.6,176,1339,0.1314413741598207,Communication & PR,Singapore,440.0
Attorney,0.15,800,3198,0.2501563477173233,Supply Chain & Logistics,Myanmar,561.25
Assistant Product Manager,0.4,853,2632,0.3240881458966565,Leadership & Strategy,Thailand,530.0
Set Designer,0.15,1131,4772,0.2370075440067058,Law Enforcement,Myanmar,561.25
Photo Editor,0.3,281,1883,0.1492299522039299,Leadership & Strategy,Philippines,550.0
Heavy Truck Driver,0.4,154,565,0.2725663716814159,Sales & Marketing,Thailand,530.0
Administrator,0.3,231,1298,0.1779661016949152,Administrative & Clerical,Philippines,550.0
Equipment Technician,0.4,251,781,0.3213828425096031,Data & IT,Thailand,530.0
Pet Stylist,0.2,65,417,0.1558752997601918,Sales & Marketing,Laos,560.0
Sap Basis Administrator,0.5,170,1248,0.1362179487179487,Administrative & Clerical,Malaysia,487.5
Employee Relations Manager,0.25,212,1356,0.1563421828908554,Hospitality,Vietnam,556.25
Direct Care Staff,0.2,6,20,0.3,Administrative & Clerical,Laos,560.0
Chemical Operator,0.4,357,1167,0.3059125964010283,Communication & PR,Thailand,530.0
Mechanical Designer,0.4,485,1864,0.2601931330472103,Data & IT,Thailand,530.0
Elderly Caregiver,0.2,144,927,0.1553398058252427,Leadership & Strategy,Laos,560.0
Ndt Technician,0.3,161,907,0.1775082690187431,Construction,Philippines,550.0
Windows Administrator,0.6,121,812,0.1490147783251231,Law Enforcement,Singapore,440.0
Retail Clerk,0.2,221,1139,0.1940298507462686,Sales & Marketing,Laos,560.0
Lease Operator,0.15,517,1986,0.2603222557905337,Medical & Healthcare,Myanmar,561.25
Security Coordinator,0.48,148,1607,0.0920970752955818,Law Enforcement,Malaysia,499.0
Wine Consultant,0.25,323,1073,0.3010251630941286,Communication & PR,Vietnam,556.25
Study Abroad Advisor,0.2,238,1690,0.1408284023668639,Sales & Marketing,Laos,560.0
Service Assistant,0.3,187,1033,0.1810261374636979,Medical & Healthcare,Philippines,550.0
Health Insurance Specialist,0.2,269,1663,0.1617558628983764,Medical & Healthcare,Laos,560.0
Quality Inspector,0.25,457,1684,0.2713776722090261,Law Enforcement,Vietnam,556.25
Forensic Nurse,0.2,145,1096,0.1322992700729927,Supply Chain & Logistics,Laos,560.0
Group Fitness Instructor,0.2,649,2520,0.2575396825396825,Leadership & Strategy,Laos,560.0
Product Assistant,0.2,221,1866,0.1184351554126473,Hospitality,Laos,560.0
Clinical Dietitian,0.25,183,1330,0.137593984962406,Communication & PR,Vietnam,556.25
Analytical Scientist,0.5,124,912,0.1359649122807017,Hospitality,Malaysia,487.5
Data Technician,0.6,145,1037,0.1398264223722276,Sales & Marketing,Singapore,440.0
Validation Manager,0.22,174,1326,0.1312217194570135,Leadership & Strategy,Vietnam,570.5
Drilling Supervisor,0.35,232,792,0.2929292929292929,Administrative & Clerical,Indonesia,541.25
Installer,0.25,212,1740,0.1218390804597701,Law Enforcement,Vietnam,556.25
Rehabilitation Therapist,0.1,565,2267,0.2492280546978385,Law Enforcement,Cambodia,560.0
Medication Aide,0.1,491,1951,0.2516658124038954,Communication & PR,Cambodia,560.0
Director Of Product Management,0.45,707,2321,0.3046100818612667,Leadership & Strategy,Malaysia,516.25
General Counsel,0.15,1056,4223,0.2500591996211224,Hospitality,Myanmar,561.25
Wellness Consultant,0.25,471,1443,0.3264033264033264,Construction,Vietnam,556.25
Computer Scientist,0.6,118,779,0.1514762516046213,Sales & Marketing,Singapore,440.0
Tooling Engineer,0.3,170,1375,0.1236363636363636,Sales & Marketing,Philippines,550.0
Installation Technician,0.2,163,987,0.1651469098277609,Supply Chain & Logistics,Laos,560.0
Quality Specialist,0.2,224,1554,0.1441441441441441,Medical & Healthcare,Laos,560.0
Kitchen Helper,0.2,26,156,0.1666666666666666,Law Enforcement,Laos,560.0
Digital Marketing Coordinator,0.55,241,1923,0.12532501300052,Sales & Marketing,Malaysia,458.75
Law Office Assistant,0.2,210,1491,0.1408450704225352,Sales & Marketing,Laos,560.0
Platform Engineer,0.15,926,3846,0.2407696307852314,Communication & PR,Myanmar,561.25
Gymnastics Instructor,0.2,601,2290,0.2624454148471615,Medical & Healthcare,Laos,560.0
Plastic Surgeon,0.12,365,1391,0.2624011502516175,Communication & PR,Myanmar,574.0
Retail Assistant Manager,0.1,1006,4288,0.2346082089552238,Data & IT,Cambodia,560.0
Valet Attendant,0.3,64,531,0.1205273069679849,Data & IT,Philippines,550.0
Judicial Law Clerk,0.15,698,2908,0.2400275103163686,Construction,Myanmar,561.25
Market Research Interviewer,0.8,210,1825,0.1150684931506849,Hospitality,Singapore,320.0
Mental Health Associate,0.1,607,2280,0.2662280701754386,Administrative & Clerical,Cambodia,560.0
Industrial Organizational Psychologist,0.6,90,685,0.1313868613138686,Hospitality,Singapore,440.0
Kennel Assistant,0.15,222,937,0.2369263607257203,Leadership & Strategy,Myanmar,561.25
Optical Engineer,0.2,630,2780,0.2266187050359712,Data & IT,Laos,560.0
Youth Minister,0.1,737,3318,0.2221217600964436,Communication & PR,Cambodia,560.0
Research Psychologist,0.1,858,3432,0.25,Construction,Cambodia,560.0
Program Administrator,0.2,1339,5294,0.252927842840952,Medical & Healthcare,Laos,560.0
Pressure Washer,0.18,257,1296,0.1983024691358024,Construction,Laos,569.0
Data Center Manager,0.4,816,2382,0.3425692695214106,Medical & Healthcare,Thailand,530.0
Kitchen Steward,0.25,92,725,0.1268965517241379,Supply Chain & Logistics,Vietnam,556.25
Warehouse Driver,0.2,158,1088,0.1452205882352941,Medical & Healthcare,Laos,560.0
Clinical Psychologist,0.1,377,1547,0.2436974789915966,Leadership & Strategy,Cambodia,560.0
Financial Examiner,0.6,192,1325,0.1449056603773585,Leadership & Strategy,Singapore,440.0
Utility Operator,0.15,531,2160,0.2458333333333333,Construction,Myanmar,561.25
Grants Administrator,0.3,231,1833,0.1260229132569558,Data & IT,Philippines,550.0
Flight Test Engineer,0.15,704,2536,0.277602523659306,Leadership & Strategy,Myanmar,561.25
Product Specialist,0.2,261,2095,0.1245823389021479,Communication & PR,Laos,560.0
Medical Interpreter,0.35,419,1730,0.2421965317919075,Law Enforcement,Indonesia,541.25
Manager,0.15,1316,5181,0.2540050183362285,Medical & Healthcare,Myanmar,561.25
Activist,0.1,887,3578,0.2479038569032979,Construction,Cambodia,560.0
Ophthalmic Assistant,0.2,165,961,0.1716961498439126,Leadership & Strategy,Laos,560.0
Registered Respiratory Therapist,0.2,125,1063,0.1175917215428033,Leadership & Strategy,Laos,560.0
Mechanical Drafter,0.37,567,1959,0.2894333843797856,Leadership & Strategy,Thailand,546.5
Package Designer,0.2,205,1483,0.1382333108563722,Medical & Healthcare,Laos,560.0
Case Worker,0.2,8,49,0.1632653061224489,Communication & PR,Laos,560.0
Java Web Developer,0.6,110,796,0.1381909547738693,Sales & Marketing,Singapore,440.0
Insurance Analyst,0.5,186,1529,0.1216481360366252,Construction,Malaysia,487.5
Maintenance Planner,0.3,213,1585,0.134384858044164,Law Enforcement,Philippines,550.0
Clinical Coordinator,0.45,690,2244,0.3074866310160428,Construction,Malaysia,516.25
Network Technician,0.3,257,1648,0.1559466019417475,Supply Chain & Logistics,Philippines,550.0
Social Media Marketing,0.55,259,2183,0.1186440677966101,Sales & Marketing,Malaysia,458.75
Law Librarian,0.15,672,3040,0.2210526315789473,Hospitality,Myanmar,561.25
Military Police Officer,0.1,541,1705,0.3173020527859237,Data & IT,Cambodia,560.0
Airport,0.05,556,2206,0.2520398912058023,Administrative & Clerical,Cambodia,580.0
Manufacturing Planner,0.25,285,1972,0.1445233265720081,Hospitality,Vietnam,556.25
Business Development Coordinator,0.3,300,1867,0.1606855918585966,Leadership & Strategy,Philippines,550.0
Security Receptionist,0.5,44,381,0.1154855643044619,Hospitality,Malaysia,487.5
Wire Technician,0.35,527,1641,0.3211456429006703,Hospitality,Indonesia,541.25
Skip Tracer,0.6,103,745,0.138255033557047,Supply Chain & Logistics,Singapore,440.0
Wholesaler,0.1,917,3683,0.2489818083084442,Hospitality,Cambodia,560.0
Team Leader,0.2,1185,4540,0.2610132158590308,Sales & Marketing,Laos,560.0
Insurance Assistant,0.2,207,1473,0.1405295315682281,Law Enforcement,Laos,560.0
Fire Watch,0.05,261,1008,0.2589285714285714,Data & IT,Cambodia,580.0
Financial Advisor,0.15,990,3837,0.2580140734949179,Data & IT,Myanmar,561.25
Crna,0.1,258,1072,0.2406716417910447,Medical & Healthcare,Cambodia,560.0
Recovery Specialist,0.25,569,1670,0.3407185628742515,Construction,Vietnam,556.25
Regulatory Affairs Associate,0.43,614,1879,0.3267695582756785,Communication & PR,Malaysia,527.75
Group Exercise Instructor,0.2,653,2528,0.2583069620253164,Administrative & Clerical,Laos,560.0
Help Desk Analyst,0.48,603,2284,0.2640105078809107,Leadership & Strategy,Malaysia,499.0
Picker,0.4,154,584,0.2636986301369863,Law Enforcement,Thailand,530.0
Administrative Officer,0.65,133,865,0.153757225433526,Communication & PR,Singapore,410.0
Medical Technologist,0.35,301,1125,0.2675555555555555,Leadership & Strategy,Indonesia,541.25
Construction Consultant,0.25,206,1450,0.1420689655172413,Sales & Marketing,Vietnam,556.25
Marketing Project Manager,0.52,178,1396,0.1275071633237822,Medical & Healthcare,Malaysia,476.0
Computer Engineer,0.2,6,46,0.1304347826086956,Administrative & Clerical,Laos,560.0
Retail Sales Consultant,0.3,189,1384,0.1365606936416185,Hospitality,Philippines,550.0
Senior Mechanical Design Engineer,0.3,161,1285,0.1252918287937743,Data & IT,Philippines,550.0
Directional Driller,0.1,237,1036,0.2287644787644787,Construction,Cambodia,560.0
Assistant Buyer,0.4,710,2168,0.3274907749077491,Medical & Healthcare,Thailand,530.0
Community Organizer,0.1,768,3063,0.2507345739471107,Medical & Healthcare,Cambodia,560.0
Chief Medical Officer,0.2,5,20,0.25,Supply Chain & Logistics,Laos,560.0
Sat Tutor,0.05,791,3447,0.2294749057151145,Hospitality,Cambodia,580.0
Slot Attendant,0.3,58,375,0.1546666666666666,Sales & Marketing,Philippines,550.0
Diver,0.1,240,839,0.2860548271752086,Law Enforcement,Cambodia,560.0
Fitness Specialist,0.2,192,1286,0.1493001555209953,Leadership & Strategy,Laos,560.0
Freight Broker,0.2,740,2997,0.2469135802469135,Supply Chain & Logistics,Laos,560.0
Van Driver,0.15,314,1244,0.2524115755627009,Law Enforcement,Myanmar,561.25
Front End Web Developer,0.7,159,1055,0.1507109004739336,Data & IT,Singapore,380.0
Professional Driver,0.4,93,411,0.2262773722627737,Communication & PR,Thailand,530.0
Revenue Analyst,0.2,254,1732,0.1466512702078521,Data & IT,Laos,560.0
Compensation Specialist,0.4,723,2180,0.3316513761467889,Medical & Healthcare,Thailand,530.0
Substation Electrician,0.2,69,819,0.0842490842490842,Administrative & Clerical,Laos,560.0
Electrical Estimator,0.3,176,1063,0.1655691439322671,Medical & Healthcare,Philippines,550.0
Center Manager,0.25,209,1542,0.1355382619974059,Leadership & Strategy,Vietnam,556.25
External Wholesaler,0.3,278,1997,0.1392088132198297,Law Enforcement,Philippines,550.0
Chemist,0.3,136,884,0.1538461538461538,Hospitality,Philippines,550.0
Youth Development Specialist,0.4,475,1830,0.2595628415300546,Administrative & Clerical,Thailand,530.0
Multimedia Journalist,0.1,998,4180,0.238755980861244,Leadership & Strategy,Cambodia,560.0
Security Analyst,0.3,729,1817,0.4012107870115575,Communication & PR,Philippines,550.0
Speech Writer,0.1,1101,4636,0.2374892148403796,Leadership & Strategy,Cambodia,560.0
Legal Receptionist,0.35,463,1700,0.2723529411764706,Law Enforcement,Indonesia,541.25
Hris Manager,0.2,275,1896,0.145042194092827,Medical & Healthcare,Laos,560.0
Finance Administrator,0.45,563,1767,0.3186191284663271,Medical & Healthcare,Malaysia,516.25
Lacrosse Coach,0.15,399,1707,0.2337434094903339,Medical & Healthcare,Myanmar,561.25
Food Runner,0.15,462,1985,0.2327455919395466,Supply Chain & Logistics,Myanmar,561.25
Procurement Clerk,0.6,115,907,0.1267916207276736,Construction,Singapore,440.0
Senior Instructional Designer,0.2,343,2385,0.1438155136268343,Hospitality,Laos,560.0
J2Ee Developer,0.7,141,983,0.143438453713123,Leadership & Strategy,Singapore,380.0
Strategic Planner,0.35,935,3451,0.270935960591133,Supply Chain & Logistics,Indonesia,541.25
Business Development Director,0.35,348,2223,0.1565452091767881,Hospitality,Indonesia,541.25
Business Support,0.25,269,1795,0.1498607242339832,Hospitality,Vietnam,556.25
Senior Manager,0.15,1174,4360,0.2692660550458715,Sales & Marketing,Myanmar,561.25
It Security Engineer,0.55,139,1071,0.1297852474323062,Data & IT,Malaysia,458.75
Sales Trader,0.05,639,2814,0.2270788912579957,Data & IT,Cambodia,580.0
Research Assistant,0.2,404,2608,0.1549079754601227,Communication & PR,Laos,560.0
Occupational Medicine Physician,0.12,411,1457,0.2820864790665751,Leadership & Strategy,Myanmar,574.0
Store Manager,0.1,920,4030,0.228287841191067,Hospitality,Cambodia,560.0
Water Resource Engineer,0.2,695,2843,0.244460077383046,Communication & PR,Laos,560.0
It Support,0.4,830,2540,0.326771653543307,Hospitality,Thailand,530.0
Youth Mentor,0.1,777,3037,0.2558445834705301,Sales & Marketing,Cambodia,560.0
Management Consultant,0.35,231,1336,0.1729041916167664,Supply Chain & Logistics,Indonesia,541.25
Data Collector,0.95,299,2148,0.1391992551210428,Data & IT,Singapore,230.0
Warehouse Operator,0.4,319,1227,0.2599837000814995,Construction,Thailand,530.0
Lathe Machinist,0.18,223,879,0.2536973833902161,Medical & Healthcare,Laos,569.0
